Date,tmin_c,tmax_c,tmean_c
2025-01-01,-10.444444444444445,0.166666666666665,-5.111111111111111
2025-01-02,-10.055555555555555,-0.5555555555555556,-5.333333333333334
2025-01-03,-8.166666666666666,7.333333333333335,-0.4444444444444448
2025-01-04,-6.611111111111111,5.0,-0.8333333333333334
2025-01-05,-4.666666666666666,5.444444444444443,0.3888888888888904
2025-01-06,-7.277777777777778,4.888888888888888,-1.222222222222222
2025-01-07,-7.277777777777778,2.3888888888888875,-2.444444444444444
2025-01-08,-11.444444444444445,2.7777777777777777,-4.333333333333333
2025-01-09,-12.666666666666666,-0.8333333333333334,-6.722222222222223
2025-01-10,-11.555555555555555,3.722222222222224,-3.888888888888889
2025-01-11,-12.5,0.3333333333333341,-6.111111111111111
2025-01-12,-11.27777777777778,5.1111111111111125,-3.055555555555556
2025-01-13,-12.444444444444445,1.4444444444444453,-5.499999999999999
2025-01-14,-12.72222222222222,-1.4999999999999996,-7.111111111111111
2025-01-15,-13.38888888888889,-0.1111111111111107,-6.722222222222223
2025-01-16,-13.833333333333334,1.0555555555555547,-6.388888888888889
2025-01-17,-12.61111111111111,2.666666666666665,-5.0
2025-01-18,-12.88888888888889,6.277777777777776,-3.277777777777777
2025-01-19,-15.77777777777778,-1.0000000000000004,-8.38888888888889
2025-01-20,-14.27777777777778,-4.0,-9.166666666666666
2025-01-21,-18.5,-7.444444444444445,-13.0
2025-01-22,-19.11111111111111,-6.0,-12.555555555555555
2025-01-23,-17.666666666666668,1.277777777777776,-8.222222222222221
2025-01-24,-15.22222222222222,-0.3333333333333341,-7.777777777777778
2025-01-25,-14.88888888888889,-0.1111111111111107,-7.5
2025-01-26,-10.0,-4.055555555555555,-7.000000000000001
2025-01-27,-17.833333333333332,-2.333333333333333,-10.055555555555555
2025-01-28,-19.27777777777778,-4.944444444444444,-12.11111111111111
2025-01-29,-19.61111111111111,-4.833333333333333,-12.22222222222222
2025-01-30,-19.27777777777778,-3.2222222222222228,-11.27777777777778
2025-01-31,-18.166666666666668,-0.6111111111111119,-9.38888888888889
2025-02-01,-16.77777777777778,0.2777777777777778,-8.277777777777779
2025-02-02,-7.222222222222222,5.777777777777777,-0.7222222222222227
2025-02-03,-3.7777777777777777,9.833333333333336,3.055555555555556
2025-02-04,-1.277777777777778,14.000000000000002,6.388888888888889
2025-02-05,-1.3888888888888888,12.111111111111107,5.38888888888889
2025-02-06,-1.9444444444444444,15.11111111111111,6.611111111111111
2025-02-07,-3.2222222222222228,14.055555555555554,5.444444444444443
2025-02-08,-2.3888888888888893,15.5,6.555555555555554
2025-02-09,-6.666666666666667,5.944444444444446,-0.3888888888888885
2025-02-10,-10.38888888888889,3.333333333333333,-3.555555555555555
2025-02-11,-11.166666666666666,2.999999999999999,-4.111111111111111
2025-02-12,-11.444444444444445,-0.166666666666667,-5.777777777777777
2025-02-13,-14.77777777777778,-2.3888888888888893,-8.555555555555555
2025-02-14,-14.61111111111111,-5.166666666666667,-9.88888888888889
2025-02-15,-8.11111111111111,1.6666666666666667,-3.2222222222222228
2025-02-16,-8.055555555555555,5.833333333333333,-1.1111111111111112
2025-02-17,-8.777777777777779,3.722222222222224,-2.555555555555556
2025-02-18,-6.833333333333333,9.72222222222222,1.4444444444444453
2025-02-19,-6.4444444444444455,7.833333333333333,0.6666666666666683
2025-02-20,-7.555555555555555,5.38888888888889,-1.1111111111111112
2025-02-21,-3.555555555555555,2.944444444444443,-0.2777777777777778
2025-02-22,-5.944444444444445,9.11111111111111,1.555555555555554
2025-02-23,-6.722222222222223,8.777777777777777,1.0555555555555547
2025-02-24,-5.833333333333333,12.77777777777778,3.444444444444446
2025-02-25,-2.2222222222222223,17.944444444444443,7.833333333333333
2025-02-26,-4.277777777777778,16.555555555555557,6.111111111111111
2025-02-27,-6.166666666666668,8.944444444444445,1.3888888888888888
2025-02-28,-6.833333333333333,11.166666666666666,2.166666666666666
2025-03-01,-6.388888888888889,14.055555555555554,3.8333333333333326
2025-03-02,-4.944444444444444,15.333333333333334,5.166666666666665
2025-03-03,-2.9444444444444446,17.61111111111111,7.333333333333335
2025-03-04,-0.2222222222222214,9.444444444444445,4.61111111111111
2025-03-05,-2.5,12.22222222222222,4.888888888888888
2025-03-06,-3.888888888888889,9.888888888888888,2.999999999999999
2025-03-07,-1.6111111111111105,7.333333333333335,2.8888888888888906
2025-03-08,-4.444444444444445,6.611111111111111,1.1111111111111112
2025-03-09,-5.277777777777778,9.22222222222222,2.000000000000001
2025-03-10,-4.222222222222223,12.77777777777778,4.27777777777778
2025-03-11,-3.6666666666666674,16.444444444444443,6.388888888888889
2025-03-12,-1.4444444444444453,16.444444444444443,7.5
2025-03-13,-1.6666666666666667,15.88888888888889,7.11111111111111
2025-03-14,0.3888888888888904,13.055555555555555,6.722222222222223
2025-03-15,-2.333333333333333,7.11111111111111,2.3888888888888875
2025-03-16,-4.111111111111111,8.11111111111111,2.000000000000001
2025-03-17,-3.555555555555555,15.166666666666666,5.833333333333333
2025-03-18,0.166666666666665,16.944444444444443,8.555555555555555
2025-03-19,-4.277777777777778,7.11111111111111,1.3888888888888888
2025-03-20,-5.055555555555556,8.722222222222223,1.833333333333332
2025-03-21,-3.555555555555555,11.944444444444445,4.222222222222223
2025-03-22,-3.7222222222222223,11.72222222222222,4.000000000000002
2025-03-23,0.4444444444444428,14.11111111111111,7.277777777777778
2025-03-24,0.1111111111111126,16.61111111111111,8.333333333333334
2025-03-25,3.1666666666666683,20.88888888888889,12.055555555555555
2025-03-26,2.5,21.11111111111111,11.833333333333332
