Date,tmin_c,tmax_c,tmean_c
2024-01-01,-11.666666666666666,3.277777777777777,-4.166666666666667
2024-01-02,-12.555555555555555,2.5555555555555562,-5.0
2024-01-03,-13.222222222222221,2.055555555555557,-5.555555555555555
2024-01-04,-12.722222222222221,0.22222222222222143,-6.277777777777778
2024-01-05,-9.777777777777779,5.499999999999999,-2.1111111111111116
2024-01-06,-9.944444444444445,2.999999999999999,-3.5000000000000004
2024-01-07,-10.333333333333334,0.944444444444446,-4.722222222222222
2024-01-08,-10.444444444444445,0.33333333333333415,-5.055555555555556
2024-01-09,-13.61111111111111,1.8333333333333317,-5.888888888888889
2024-01-10,-14.5,-3.555555555555555,-9.0
2024-01-11,-11.38888888888889,0.777777777777777,-5.277777777777778
2024-01-12,-14.777777777777779,-0.9444444444444441,-7.888888888888889
2024-01-13,-16.72222222222222,1.1666666666666674,-7.777777777777778
2024-01-14,-3.7222222222222223,4.388888888888888,0.33333333333333415
2024-01-15,-4.333333333333333,7.444444444444445,1.555555555555554
2024-01-16,-17.22222222222222,3.611111111111111,-6.833333333333333
2024-01-17,-18.22222222222222,-3.5000000000000004,-10.88888888888889
2024-01-18,-10.944444444444445,-2.666666666666667,-6.777777777777778
2024-01-19,-10.61111111111111,5.833333333333333,-2.3888888888888893
2024-01-20,-7.888888888888889,5.444444444444443,-1.2222222222222219
2024-01-21,-8.333333333333334,2.944444444444443,-2.666666666666667
2024-01-22,-4.555555555555555,5.611111111111112,0.4999999999999992
2024-01-23,-0.7222222222222227,5.888888888888889,2.5555555555555562
2024-01-24,-0.777777777777777,7.777777777777778,3.4999999999999982
2024-01-25,-3.3333333333333335,10.388888888888891,3.4999999999999982
2024-01-26,-4.277777777777778,6.277777777777776,0.9999999999999984
2024-01-27,-6.5,8.88888888888889,1.2222222222222239
2024-01-28,-7.555555555555555,7.333333333333335,-0.11111111111111072
2024-01-29,-7.333333333333333,9.000000000000002,0.8333333333333334
2024-01-30,-6.888888888888888,10.61111111111111,1.8333333333333317
2024-01-31,-6.833333333333333,10.88888888888889,2.055555555555557
2024-02-01,-7.277777777777778,10.999999999999998,1.8888888888888882
2024-02-02,-6.222222222222222,8.055555555555555,0.8888888888888897
2024-02-03,0.22222222222222143,7.5,3.888888888888889
2024-02-04,-2.000000000000001,7.666666666666665,2.833333333333334
2024-02-05,-4.388888888888888,6.611111111111111,1.1111111111111112
2024-02-06,-2.7777777777777777,4.055555555555554,0.6111111111111119
2024-02-07,-2.0555555555555554,6.0555555555555545,2.000000000000001
2024-02-08,-2.2222222222222223,5.499999999999999,1.6111111111111103
2024-02-09,-3.277777777777777,5.999999999999998,1.3888888888888888
2024-02-10,-3.6666666666666674,5.277777777777778,0.777777777777777
2024-02-11,-11.777777777777779,0.944444444444446,-5.444444444444445
2024-02-12,-12.38888888888889,1.2777777777777761,-5.555555555555555
2024-02-13,-8.61111111111111,2.944444444444443,-2.833333333333334
2024-02-14,-8.055555555555555,5.38888888888889,-1.3333333333333326
2024-02-15,-3.555555555555555,8.722222222222223,2.5555555555555562
2024-02-16,-3.2222222222222228,9.222222222222221,2.999999999999999
2024-02-17,-7.833333333333333,9.666666666666666,0.944444444444446
2024-02-18,-9.0,2.5555555555555562,-3.2222222222222228
2024-02-19,-6.388888888888889,3.555555555555555,-1.4444444444444453
2024-02-20,-6.888888888888888,6.555555555555554,-0.16666666666666707
2024-02-21,-1.2222222222222219,4.833333333333335,1.7777777777777795
2024-02-22,-1.4444444444444453,8.222222222222221,3.3888888888888897
2024-02-23,-4.055555555555555,10.0,2.999999999999999
2024-02-24,-5.277777777777778,9.000000000000002,1.8333333333333317
2024-02-25,-6.111111111111111,10.222222222222221,2.055555555555557
2024-02-26,-5.611111111111112,15.444444444444445,4.944444444444444
2024-02-27,-2.8888888888888884,15.555555555555555,6.333333333333332
2024-02-28,-10.38888888888889,1.555555555555554,-4.388888888888888
2024-02-29,-10.833333333333334,5.277777777777778,-2.7777777777777777
2024-03-01,-8.0,10.833333333333334,1.4444444444444453
2024-03-02,-5.333333333333334,15.38888888888889,5.055555555555556
2024-03-03,-4.388888888888888,12.944444444444443,4.2777777777777795
2024-03-04,-5.111111111111111,2.000000000000001,-1.555555555555556
2024-03-05,-5.611111111111112,4.166666666666667,-0.7222222222222227
2024-03-06,-5.555555555555555,6.944444444444445,0.6666666666666683
2024-03-07,-5.722222222222222,12.5,3.3888888888888897
2024-03-08,-1.1111111111111112,10.277777777777779,4.61111111111111
2024-03-09,-6.222222222222222,7.88888888888889,0.8333333333333334
2024-03-10,-7.222222222222222,9.166666666666666,0.944444444444446
2024-03-11,-5.777777777777777,13.555555555555555,3.888888888888889
2024-03-12,-1.555555555555556,15.61111111111111,7.055555555555557
2024-03-13,-0.9444444444444441,12.333333333333336,5.666666666666668
2024-03-14,-2.4444444444444438,7.000000000000001,2.2777777777777786
2024-03-15,-2.833333333333334,7.333333333333335,2.2777777777777786
2024-03-16,-2.999999999999999,9.833333333333336,3.3888888888888897
2024-03-17,0.33333333333333415,13.333333333333334,6.833333333333332
2024-03-18,-1.1111111111111112,13.61111111111111,6.277777777777776
2024-03-19,-1.7777777777777775,15.38888888888889,6.833333333333332
2024-03-20,-1.8888888888888882,18.055555555555557,8.11111111111111
2024-03-21,-1.1666666666666674,18.72222222222222,8.777777777777777
2024-03-22,-0.3888888888888885,18.61111111111111,9.11111111111111
2024-03-23,0.11111111111111269,18.055555555555557,9.055555555555554
2024-03-24,0.6666666666666683,15.88888888888889,8.277777777777779
