,DATETIME_END,CO2_1_1_1,CO2_SIGMA_1_1_1,H2O_1_1_1,H2O_SIGMA_1_1_1,FC_1_1_1,FC_SSITC_TEST_1_1_1,LE_1_1_1,LE_SSITC_TEST_1_1_1,H_1_1_1,H_SSITC_TEST_1_1_1,FETCH_MAX,FETCH_90,WD_1_1_1,WS_1_1_1,WS_MAX_1_1_1,USTAR_1_1_1,ZL_1_1_1,TAU_1_1_1,TAU_SSITC_TEST_1_1_1,MO_LENGTH_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,PA_1_1_1,TA_1_1_1,RH_1_1_1,TA_1_2_1,RH_1_2_1,TA_1_3_1,RH_1_3_1,TA_1_4_1,VPD_1_1_1,T_SONIC_1_1_1,T_SONIC_SIGMA_1_1_1,PBLH_F,TS_1_1_1,TS_2_1_1,SWC_1_1_1,SWC_2_1_1,ALB_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,P_1_1_1,G_2_1_1,G_1_1_1,SG_2_1_1,SG_1_1_1,WD_SIGMA_1_1_1,NETRAD_1_1_2,ALB_1_1_2,SW_IN_1_1_2,SW_OUT_1_1_2,LW_IN_1_1_2,LW_OUT_1_1_2,T_CANOPY_1_1_1,PPFD_IN_1_1_1,SWC_3_1_1,TS_3_1_1,SWC_3_2_1,TS_3_2_1,SWC_3_3_1,TS_3_3_1,SWC_3_4_1,TS_3_4_1,SWC_3_5_1,TS_3_5_1,SWC_3_6_1,TS_3_6_1,SWC_3_7_1,TS_3_7_1,SWC_3_8_1,TS_3_8_1,SWC_3_9_1,TS_3_9_1,WS_1_1_2,WD_1_1_2,LEAF_WET_1_1_1,LEAF_WET_1_2_1,SG_3_1_1,G_3_1_1,TIMESTAMP_START,TIMESTAMP_END
10,2024-06-05 17:30:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2,-9999.0,2,-9999.0,0,23.17049,66.09202,228.42948,2.666157,7.569765,0.2643149,0.08996788,-9999.0,0,18.27463,1.086061,0.9903568,0.3069724,-9999.0,31.4445,-9999.0,-9999.0,-9999.0,33.76438,15.10604,-9999.0,-9999.0,34.09896,0.9242621,128.5594,-9999.0,-9999.0,-9999.0,15.37341,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,23.816346875,-49.0096875,22.27537,162.3706,27.83329,429.0536,119.2556,335.9681,483.3954,28.36239,816.2568,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2.833671,239.2543,0.0,0.0,-9999.0,-9999.0,202406051700,202406051730
11,2024-06-05 18:00:00,426.6764,2.83734,7.51741,1.652247,-8.187122,0,247.8333,0,-113.0651,0,23.46285,66.99492,228.41138,2.49172,8.315286,0.2706493,0.1119748,0.06825086,0,14.68304,0.9164331,1.122097,0.3094408,86.91438,34.35727,11.96162,33.28756,12.84024,33.71707,13.94585,33.51562,44.95307,34.05138,1.029591,124.6555,26.33453,24.95856,23.42556,16.40849,19.72649,156.4854,325.7963,64.33515,360.0986,465.0744,-9999.0,-8.963011375,71.622765,-5.190959375,50.050125,24.71619,102.3963,27.23704,328.5649,89.76789,332.8472,469.2479,26.56092,638.71,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2.74264,237.5031,0.0,0.0,-9999.0,-9999.0,202406051730,202406051800
12,2024-06-05 18:30:00,429.4407,1.327398,6.479313,1.105348,-3.362312,0,179.7804,0,-136.5745,0,21.87377,62.42032,226.62698,3.230909,8.501106,0.3112869,0.08975977,0.09548613,0,18.317,1.346239,1.227065,0.3885106,87.0019,34.03828,10.49267,33.2479,11.05977,33.61898,12.37008,33.44465,45.70898,33.87695,0.9766842,128.6054,25.58146,24.69989,24.45288,16.33764,20.29494,74.8389,215.2752,43.59239,358.6967,455.5406,-9999.0,-41.40751375,-56.47816375,-29.38089375,-70.75509375,22.13407,43.66717,25.47182,231.3753,59.04811,330.9788,459.6388,25.89708,416.4667,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,3.456514,234.4548,0.0,0.0,-9999.0,-9999.0,202406051800,202406051830
13,2024-06-05 19:00:00,431.3488,1.070723,6.379362,0.7688948,0.791421,0,148.1881,0,-151.188,0,21.63559,61.76101,230.73178,3.314464,8.967406,0.3198061,0.09382719,0.1009796,0,17.52296,1.17669,0.962594,0.4046434,87.01011,33.36207,10.73185,32.69754,11.20768,33.06329,12.63279,32.87511,44.23804,33.31605,1.045071,127.7424,24.63525,24.04419,24.19262,16.17469,21.50754,-4.019112,114.4864,24.57664,357.0892,451.018,-9999.0,-61.50127375,-49.88139625,-39.30134375,-56.80590625,17.14017,-16.55864,22.80875,141.6411,32.62803,328.5128,454.0845,25.34121,224.2042,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,3.631282,240.7494,0.0,0.0,-9999.0,-9999.0,202406051830,202406051900
14,2024-06-05 19:30:00,432.8064,1.627679,5.914704,0.7084623,5.694172,0,124.729,1,-165.6343,0,17.80046,50.98591,259.74308,3.31191,11.15905,0.2975823,0.1294988,0.0876103,2,12.6961,2.381956,1.895618,0.4805236,87.01678,32.5745,10.40486,32.43148,10.55961,32.51562,12.29336,32.42545,43.90652,33.00458,1.11209,122.4958,23.82734,23.38573,23.93209,16.00353,30.0817,-72.02871,30.39965,7.49343,354.2122,449.1471,-9999.0,-68.18407375000001,-54.85790125,-39.03509375,-56.19965625,51.82625,-88.02577,12.38906,46.50972,8.654139,326.4124,452.2938,25.61848,69.40491,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,3.42363,280.3762,0.0,0.0,-9999.0,-9999.0,202406051900,202406051930
15,2024-06-05 20:00:00,432.2506,1.346843,4.920722,0.2055971,3.259704,1,27.39986,1,-59.69967,1,7.227139,259.4419,28.96538000000001,1.645023,6.204418,0.1988318,0.1596213,0.03913677,0,10.30019,0.7141154,0.7565215,0.282079,87.05338,32.53539,8.678401,32.4625,8.735234,32.5575,10.67276,32.31747,44.85086,32.93982,1.201502,119.8915,23.09044,22.76504,23.69118,15.83248,0.0,-90.27336,-5.11945,0.7252315,352.1675,436.5962,-9999.0,-60.3013125,-42.565061500000006,-28.265612500000003,-39.2630625,26.2451,-113.0547,0.0,0.6914445,-0.004999999,323.7102,437.4614,22.65804,4.952014,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.488129,23.70238,0.0,0.0,-9999.0,-9999.0,202406051930,202406052000
16,2024-06-05 20:30:00,432.0285,1.330436,4.890931,0.1767065,3.215092,0,21.17229,0,-77.96677,0,24.0576,68.72913,45.05868000000001,1.797681,5.79648,0.2328386,0.1313845,0.0539671,0,12.51388,0.6353887,0.56939,0.2580098,87.06627,30.75927,9.521704,30.96033,9.447962,30.93323,11.33222,30.82871,40.83521,31.43224,0.955205,122.2977,22.50758,22.29145,23.51198,15.70178,0.0,-85.20365,-6.238144,0.9687971,347.0062,425.003,-9999.0,-65.98343750000001,-51.872095,-32.9089375,-45.569625,18.4505,-109.7613,0.0,-1.295944,-0.2929444,320.4328,429.1911,21.33896,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.939311,41.57068,0.0,0.0,-9999.0,-9999.0,202406052000,202406052030
17,2024-06-05 21:00:00,444.5714,11.45787,6.34453,1.414897,21.48277,2,107.2972,2,-182.936,2,40.17089,114.4548,304.38686,1.548772,4.258172,0.301956,0.1387285,0.09166221,1,11.85142,0.7609219,1.478664,0.1762792,87.10444,27.79617,15.3913,27.21572,16.13795,28.00565,15.93998,27.58852,31.36718,27.81845,3.21205,121.5776,21.9365,21.782,23.2814,15.57342,0.0,-74.20142,-8.859078,-1.869933,342.1812,409.3934,-9999.0,-49.83693375,-34.55840275,-15.21399375,-25.37359375,67.48457,-97.75594,0.0,-1.581167,-0.5840277,313.7453,410.5041,16.80781,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.485517,277.1127,0.0,0.0,-9999.0,-9999.0,202406052030,202406052100
18,2024-06-05 21:30:00,442.1852,7.003022,6.18711,0.5102048,3.173267,2,1.290765,2,-24.37084,2,10.54093,352.886,89.23498000000002,0.8999208,2.27304,0.06569265,1.856025,0.004378766,2,0.8858338,0.2991817,0.719092,0.077469,87.11295,24.68054,17.25908,24.78069,17.32138,25.26424,17.67695,25.1405,26.21208,25.365,1.908262,109.6585,21.40181,21.47394,23.124,15.45122,0.0,-52.9383,-4.857207,-0.3309536,336.6336,385.0456,-9999.0,-65.97485625,-62.62935875,-27.87405625,-51.21921875,44.84056,-78.44341,0.0,-0.9921944,-0.667,311.0231,389.1413,11.96687,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.6915536,75.39095,0.0,0.0,-9999.0,-9999.0,202406052100,202406052130
19,2024-06-05 22:00:00,485.204,28.39417,8.332032,0.818051,-2.321862,2,-2.049852,2,-12.24734,2,2.723792,90.54536,249.69798000000003,0.7623536,1.509301,0.1031104,0.2447495,0.01093467,2,6.717602,0.4187012,0.5289783,0.06920759,87.10238,19.87967,30.954,20.05743,30.92906,21.07262,27.16565,20.90365,16.44115,20.831,1.415104,115.9974,20.75211,20.98543,22.92517,15.33131,0.0,-49.79024,-5.308697,-1.561523,331.0476,377.0907,-9999.0,-70.91075187499999,-52.2342475,-29.120221875,-38.0439375,52.14781,-74.23177,0.0,-1.005417,-0.5658611,306.215,380.0073,10.39057,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.4886934,282.3311,0.0,0.0,-9999.0,-9999.0,202406052130,202406052200
